YR elected,CD,Any Congregation,No Congregation,Evangel. Prot Congregation,Roman Catholic,Mainline Prot,Other
2018,FL15,39.945,60.055,20.568,9.327,5.216,4.835
2018,FL16,40.006,59.994,14.838,15.902,6.108,3.158
2018,FL17,39.815,60.185,16.613,14.372,5.904,2.926
2018,FL18,34.551,65.449,10.706,15.565,4.088,4.191
2018,FL19,36.98,63.02,13.646,15.903,4.882,2.549
2018,FL20,36.682,63.318,12.075,15.994,3.152,5.46
2018,FL21,36.641,63.359,10.888,15.908,3.35,6.495
2018,FL22,36.691,63.309,12.346,16.014,3.107,5.224
2018,FL23,37.016,62.984,12.476,16.629,2.907,5.003
2018,FL24,39.397,60.603,11.097,21.129,1.784,5.388
2018,FL25,37.88,62.12,11.294,19.293,2.717,4.576
2018,FL26,39.087,60.913,10.486,21.437,1.853,5.312
2018,FL27,39.758,60.242,10.888,21.809,1.614,5.447
2018,GA01,49.374,50.626,27.838,5.07,8.236,8.23
2018,GA02,53.726,46.274,32.332,2.82,8.299,10.275
2018,GA03,52.649,47.351,36.554,3.716,8.6,3.779
2018,GA04,45.008,54.992,21.795,8.022,8.984,6.207
2018,GA05,58.487,41.513,22.714,8.857,13.92,12.996
2018,GA06,58.273,41.727,23.235,10.037,14.011,10.99
2018,GA07,44.936,55.064,24.468,8.606,7.977,3.885
2018,GA08,52.275,47.725,36.536,2.487,7.323,5.929
2018,GA09,56.943,43.057,39.006,8.75,6.945,2.241
2018,GA10,41.575,58.425,25.02,3.484,8.017,5.055
2018,GA11,50.304,49.696,28.96,7.768,9.545,4.031
2018,GA12,49.854,50.146,29.766,4.053,7.948,8.086
2018,GA13,50.602,49.398,28.627,7.224,8.606,6.145
2018,GA14,47.635,52.365,35.498,5.291,5.186,1.66
2018,HI01,39.295,60.705,9.684,18.224,2.939,8.447
2018,HI02,43.334,56.666,9.468,18.476,3.065,12.324
2018,IA01,58.887,41.113,10.876,23.59,21.679,2.743
2018,IA02,44.646,55.354,11.682,12.614,18.116,2.234
2018,IA03,45.504,54.496,12.358,12.269,18.15,2.728
2018,IA04,66.61,33.39,17.919,17.584,29.588,1.519
2018,ID01,42.135,57.865,18.007,8.015,3.618,12.495
2018,ID02,60.149,39.851,7.704,7.729,3.662,41.055
2018,IL01,57.783,42.217,8.135,36.655,3.989,9.004
2018,IL02,56.993,43.007,9.195,34.964,4.449,8.384
2018,IL03,57.846,42.154,8.146,36.681,3.992,9.027
2018,IL04,59.621,40.379,8.335,37.485,3.891,9.91
2018,IL05,60.652,39.348,8.755,37.769,4.232,9.896
2018,IL06,63.299,36.701,11.21,37.12,7.065,7.904
2018,IL07,59.621,40.379,8.335,37.485,3.891,9.91
2018,IL08,62.961,37.039,10.305,37.717,5.754,9.185
2018,IL09,59.621,40.379,8.335,37.485,3.891,9.91
2018,IL10,55.229,44.771,11.154,31.784,4.937,7.354
2018,IL11,54.234,45.766,9.283,33.462,6.098,5.391
2018,IL12,52.206,47.794,24.951,13.704,8.941,4.61
2018,IL13,46.725,53.275,19.487,12.234,11.313,3.692
2018,IL14,50.376,49.624,8.575,30.743,7.087,3.97
2018,IL15,51.011,48.989,27.19,11.564,10.287,1.97
2018,IL16,47.122,52.878,12.535,19.975,12.696,1.916
2018,IL17,48.685,51.315,15.931,13.192,15.19,4.372
2018,IL18,51.345,48.655,21.546,11.873,13.282,4.644
2018,IN01,50.375,49.625,17.883,19.249,6.169,7.073
2018,IN02,48.39,51.61,17.174,11.219,17.569,2.429
2018,IN03,48.264,51.736,25.076,11.72,9.019,2.449
2018,IN04,40.649,59.351,18.301,9.565,10.992,1.791
2018,IN05,41.688,58.312,17.9,10.68,10.211,2.897
2018,IN06,40.332,59.668,18,8.448,12.414,1.47
2018,IN07,42.415,57.585,15.867,11.068,9.754,5.726
2018,IN08,45.922,54.078,19.285,14.082,10.544,2.011
2018,IN09,40.917,59.083,22.377,7.756,9.092,1.692
2018,KS01,53.446,46.554,18.35,15.582,17.144,2.37
2018,KS02,44.582,55.418,15.857,12.001,13.32,3.403
2018,KS03,53.223,46.777,17.689,18.087,11.333,6.113
2018,KS04,51.258,48.742,20.56,14.14,12.456,4.102
2018,KY01,62.058,37.942,46.598,4.534,8.868,2.059
2018,KY02,54.832,45.168,38.687,8.336,6.156,1.653
2018,KY03,54.757,45.243,24.308,16.276,6.558,7.615
2018,KY04,49.68,50.32,26.392,14.657,7.133,1.498
2018,KY05,40.7,59.3,34.804,0.736,4.125,1.035
2018,KY06,47.381,52.619,29.558,5.207,9.464,3.151
2018,LA01,54.406,45.594,14.961,31.813,3.998,3.633
2018,LA02,57.15,42.85,13.331,32.561,3.879,7.38
2018,LA03,69.272,30.728,15.763,44.094,3.436,5.979
2018,LA04,62.476,37.524,37.116,11.084,5.865,8.412
2018,LA05,60.07,39.93,38.004,11.617,4.836,5.613
2018,LA06,60.181,39.819,21.709,27.773,4.821,5.878
2018,MA01,56.092,43.908,3.666,43.842,5.385,3.199
2018,MA02,49.388,50.612,4.166,36.447,5.493,3.283
2018,MA03,58.551,41.449,3.108,45.634,4.759,5.05
